e	mean	std	var_ratio	mc_acc	std_acc
<map object at 0x7fccc40eaac8>	0.708333313465	1.0
<map object at 0x7fccbc628cc0>	0.729999999205	0.983333349228
<map object at 0x7fccbc36f240>	0.728333334128	0.96500001351
<map object at 0x7fccbc0aeac8>	0.736666659514	0.953333338102
<map object at 0x7fccb45b0d68>	0.730000019073	0.94333332777
<map object at 0x7fccb42f8668>	0.748333334923	0.93166667223
<map object at 0x7fccac7f7860>	0.714999993642	0.923333346844
<map object at 0x7fccac4b9d68>	0.743333339691	0.915000001589
<map object at 0x7fccac203668>	0.721666673819	0.913333336512
<map object at 0x7fcc4c7034a8>	0.71500001351	0.898333330949
<map object at 0x7fcc4c446860>	0.718333323797	0.890000005563
e	mean	std	var_ratio	mc_acc	std_acc
0.0	0.67477	6.97918e-05	0.0	0.734999994437	1.0
0.0001	0.670465	7.53655e-05	0.0	0.746666669846	0.983333349228
0.0002	0.685	7.52109e-05	0.0	0.740000009537	0.96500001351
0.00030000000000000003	0.673009	7.57144e-05	0.0	0.736666659514	0.953333338102
